Std_SMILES,Orig_SMILES,IDs,Count
C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCP(C)(=O)O)C(=O)O,C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCP(C)(=O)O)C(=O)O,68e7b330149be731d2e7a9e3 | 6995a49de7480c69207d20bd,2
C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,68e7b330149be731d2e7a9e6 | 6995a49de7480c69207d2063,2
C[C@H]1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21 | C[C@H]1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(=N)O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21,6995a492e7480c69207d1ae0 | 6995a49ae7480c69207d1ec8,2
C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,68e7b330149be731d2e7a9eb | 6995a497e7480c69207d1d1c,2
C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CCC2=O)CC(=O)CC4,C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CCC2=O)CC(=O)CC4 | C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CCC2=O,6995a49de7480c69207d20ce | 6995a49ee7480c69207d2138,2
C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@H]2O)CC(=O)CC4,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@H]43)[C@@H]1CC[C@@H]2O | C[C@]12CC[C@@H]3C4=C(CC[C@H]3[C@@H]1CC[C@@H]2O)CC(=O)CC4,6995a492e7480c69207d1aac | 6995a49ce7480c69207d1fe8,2
Cc1[nH]n(-c2ccc([N+](=O)[O-])cc2)c(=O)c1[N+](=O)[O-],CC1=NN(c2ccc([N+](=O)[O-])cc2)C(=O)C1[N+](=O)[O-] | Cc1[nH]n(-c2ccc([N+](=O)[O-])cc2)c(=O)c1[N+](=O)[O-],68e7b321149be731d2e78f1d | 6995a49ee7480c69207d213e,2
Cc1cc(=O)cc(O)o1,Cc1cc(O)cc(=O)o1 | CC1=CC(=O)CC(=O)O1,68e7b323149be731d2e792dd | 68e7b32c149be731d2e7a29c,2
Cc1cc(=O)n(-c2ccc(S(=O)(=O)O)cc2)[nH]1,CC1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1 | Cc1cc(=O)n(-c2ccc(S(=O)(=O)O)cc2)[nH]1,68e7b32c149be731d2e7a2b1 | 6995a49ee7480c69207d2163,2
Cc1ccc2oc(/C=C/c3nc4cc(C)ccc4o3)nc2c1,Cc1ccc2oc(/C=C/c3nc4cc(C)ccc4o3)nc2c1,68e7b331149be731d2e7aac0 | 6995a49fe7480c69207d21bc,2
Cc1cnc(NC(=O)C2C(=O)c3ccccc3S(=O)(=O)N2C)s1,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1 | Cc1cnc(N/C(O)=C2\C(=O)c3ccccc3S(=O)(=O)N2C)s1,68e7b331149be731d2e7aaea | 68e7b3b7149be731d2e8c7b6,2
NC(=O)C(=NO)C(N)=O,NC(=O)C(=NO)C(N)=O | NC(=O)C(N=O)C(N)=O,68e7b332149be731d2e7acb2 | 68e7b3e0149be731d2e921a1,2
NC(=O)Nc1[nH]c(=O)[nH]c1O,N=C(O)NC1N=C(O)N=C1O | NC(=O)N[C@@H]1NC(=O)NC1=O,68e7b317149be731d2e77d7c | 6995a496e7480c69207d1cbf,2
